Product Name,Product Code,Category,Price,Build Stage,Platform,Content Done,Design Done,Live,Priority,Upsells To,Target Audience,Notes / Next Action
The Gentle Beginning (Free Starter Kit),P1,Lead Magnet,0,Not Started,Stan Store,No,No,No,Critical,P2,email subscribers,
Magnolia Circle Membership,P4,Membership,9,Not Started,Stan Store · Patreon,No,No,No,Critical,,healing-centered creators,
Shadow Work Starter Kit,P2,Digital Download,9,Not Started,Stan Store · Gumroad,No,No,No,Critical,P3,ND women,
Soft Reset Page,P0,Digital Download,5,Not Started,Gumroad · Stan Store,No,No,No,High,P2,anyone in overwhelm,
Altar Keeper's Affirmation Deck,P1b,Digital Download,12,Not Started,Gumroad · Stan Store,No,No,No,High,P2,affirmation seekers,
Dusk Reset Journal,P2b,Digital Download,17,Not Started,Stan Store,No,No,No,High,P3,evening ritual practitioners,
Ancestral Healing Journal,P3,Digital Download,19,Not Started,Stan Store,No,No,No,High,P6,ancestry researchers · ND women,
Brand Voice Workbook,P5,Digital Download,22,Not Started,Stan Store,No,No,No,Medium,S1,healing-centered entrepreneurs,
Soft Launch Guide,P7,Digital Download,27,Not Started,Stan Store,No,No,No,Low,,quiet launchers,
Sanctuary OS (Notion Template),P5b,Notion Template,37,Not Started,Gumroad · Stan Store,No,No,No,Medium,S3,ND entrepreneurs · Notion users,
Deep Roots Shadow Work System,P6,Bundle,49,Not Started,Stan Store,No,No,No,Medium,S5,advanced shadow work practitioners,
Brand Voice Clarity Session,S1,Service,197,Complete,Website,No,No,Yes,High,S4,healing-centered founders,
Creative Direction,S2,Service,127,Complete,Website,No,No,Yes,High,S4,brand builders,
Notion Sanctuary Setup,S3,Service,297,Complete,Website,No,No,Yes,High,S4,ND entrepreneurs,
VIP Half-Day Intensive,S4,Service,497,Complete,Website,No,No,Yes,High,,established brand owners,
1:1 Creative Strategy Session,S5,Service,97,Not Started,Stan Store,No,No,No,Medium,S4,early-stage creators,
The Awakening — KDP (Kate Chopin),KDP-1,KDP,12.99,Not Started,KDP,No,No,No,Medium,KDP-2,Southern Gothic readers,
Bayou Folk — KDP (Kate Chopin),KDP-2,KDP,14.99,Not Started,KDP,No,No,No,Medium,KDP-3,Southern Gothic readers,
Cane — KDP (Jean Toomer),KDP-3,KDP,13.99,Not Started,KDP,No,No,No,Medium,KDP-4,Harlem Renaissance readers,
Heart of a Woman — KDP,KDP-4,KDP,,Not Started,KDP,No,No,No,Low,KDP-5,Harlem Renaissance readers,
The Weary Blues — KDP,KDP-5,KDP,,Not Started,KDP,No,No,No,Low,,Poetry readers,
Hardcover Shadow Work Journal (POD),POD-1,POD,28,Not Started,Printify,No,No,No,High,,gift buyers · journal collectors,
Midnight Magnolia Soy Candle (POD),POD-2,POD,20,Not Started,Printify,No,No,No,High,,ritual practitioners,
Crystal Healing Set (Dropship),POD-3,POD,30,Not Started,Printify,No,No,No,Medium,,metaphysical community,
Physical Affirmation Card Deck (POD),POD-4,POD,32,Not Started,Printify,No,No,No,Low,,affirmation practice community,
