Partner Name,Category,Tier,Fit Score,Outreach Status,Contact Email,Platform URL,Audience / Website,Contact Method,Commission Rate,Apply URL,Notes
Neurodivergent Rebel,ND Creator,Tier 1,10,Not Started,,neurodivergentrebel.com/contact,neurodivergentrebel.com,Instagram,40,neurodivergentrebel.com/contact,
Balanced Black Girl,WOC Wellness,Tier 1,9,Not Started,info@balancedblackgirl.com,balancedblackgirl.com,balancedblackgirl.com,Email,30,info@balancedblackgirl.com,
Neurodivergent Insights (Dr. Neff),ND Creator,Tier 1,9,Not Started,,neurodivergentinsights.com/contact,neurodivergentinsights.com,Email,25,neurodivergentinsights.com/contact,
Useful Planner / Plannerlover,ADHD,Tier 1,9,Not Started,,plannerlover.gumroad.com/affiliates,plannerlover.gumroad.com,Email,20,plannerlover.gumroad.com/affiliates,Instant apply via Gumroad
Learning for a Purpose,ND Creator,Tier 1,9,Not Started,,learningforapurpose.com,learningforapurpose.com,Email,40,learningforapurpose.com,Instant apply
Sober Black Girls Club,Recovery,Tier 1,9,Not Started,info@soberblackgirlsclub.com,soberblackgirlsclub.com,soberblackgirlsclub.com,Email,25,info@soberblackgirlsclub.com,
Served Up Sober (Shari Hampton),Recovery,Tier 2,8,Not Started,,servedupsober.com/contact,servedupsober.com,Instagram DM,20,servedupsober.com/contact,DM first
The Luckiest Club (Laura McKowen),Recovery,Tier 2,8,Not Started,,theluckiestclub.com/contact,theluckiestclub.com,Email,20,theluckiestclub.com/contact,Literary recovery — pitch guest essay first
Reflection.app,ND Creator,Tier 2,8,Not Started,,reflection.app,reflection.app,Email,20,reflection.app,Affiliate link in footer
Ancestry.com,Genealogy,Tier 2,8,Not Started,,ancestry.com/c/affiliates,ancestry.com,Email,20,ancestry.com/c/affiliates via Partnerize,No traffic minimum to apply
MyHeritage,Genealogy,Tier 2,8,Not Started,,myheritage.com/affiliates,myheritage.com,Email,10,myheritage.com/affiliates via Impact/Awin,
GenealogyBank,Genealogy,Tier 2,7,Not Started,,genealogybank.com/affiliate,genealogybank.com,Email,40,genealogybank.com/affiliate,40% at $1200+ monthly sales
FamilyTreeDNA,Genealogy,Tier 2,7,Not Started,,familytreedna.com/affiliate,familytreedna.com,Email,15,familytreedna.com affiliate,Best African haplogroup data
The Sober Curator,Recovery,Tier 2,7,Not Started,,thesobercurator.com/contact,thesobercurator.com,Email,20,thesobercurator.com/contact,Publishes sober poetry — pitch essay first
Enchanted Soul,Dropship,Tier 2,8,Not Started,,enchantedsoul.store/pages/dropshipping,enchantedsoul.store,Email,40,enchantedsoul.store/pages/metaphysical-supplies-dropshipping,Crystal sets · ritual candles · spell kits
Printful,Dropship,Tier 2,7,Not Started,,printful.com/partner,printful.com,Email,20,printful.com partner program,Premium apparel · wall art — Magnolia Circle gifts
Starlinks Gifts,Dropship,Tier 2,7,Not Started,,starlinks.com,starlinks.com,Email,60,Wholesale application,Gothic jewelry · tarot bags · charms · 50-80% margins
